strategies,parameters,total_return,sharpe_ratio,max_drawdown,num_trades,win_rate,t_statistic,p_value
RSI + SMA,"{'RSI': {'oversold': 30, 'overbought': 70}, 'SMA': {'fast_period': 8, 'slow_period': 25}}",0.0,0.0,0.0,0,0.0,-0.4222896001262898,0.6728140835287216
RSI + SMA,"{'RSI': {'oversold': 35, 'overbought': 65}, 'SMA': {'fast_period': 5, 'slow_period': 25}}",-0.0003500000000167347,-0.008920330343021969,0.3198894909065975,1,0.0,-0.42214339273045093,0.6729207919208469
RSI + SMA,"{'RSI': {'oversold': 30, 'overbought': 65}, 'SMA': {'fast_period': 5, 'slow_period': 25}}",-0.0003500000000167347,-0.008920330343021969,0.3198894909065975,1,0.0,-0.42214339273045093,0.6729207919208469
RSI + SMA,"{'RSI': {'oversold': 35, 'overbought': 70}, 'SMA': {'fast_period': 5, 'slow_period': 25}}",-0.0003500000000167347,-0.008920330343021969,0.3198894909065975,1,0.0,-0.42214339273045093,0.6729207919208469
RSI + SMA,"{'RSI': {'oversold': 35, 'overbought': 70}, 'SMA': {'fast_period': 8, 'slow_period': 20}}",0.0,0.0,0.0,0,0.0,-0.4222896001262898,0.6728140835287216
RSI + SMA,"{'RSI': {'oversold': 35, 'overbought': 70}, 'SMA': {'fast_period': 8, 'slow_period': 25}}",0.0,0.0,0.0,0,0.0,-0.4222896001262898,0.6728140835287216
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 20}}",-0.767350000000024,-0.40296743232109794,3.0356473600712466,375,33.9572192513369,-0.19026550608329934,0.8491012672308261
RSI + BB,"{'RSI': {'oversold': 30, 'overbought': 65}, 'BB': {'period': 20, 'std_dev': 2.0}}",0.9466500000002634,0.2508044029857447,2.1425097228568704,1545,65.60880829015544,0.14749898247483598,0.882738325400984
MACD + SMA,"{'MACD': {'fast_period': 12, 'slow_period': 26, 'signal_period': 9}, 'SMA': {'fast_period': 5, 'slow_period': 25}}",-1.598150000000023,-0.9170622159810531,2.2428298336181043,314,39.29712460063898,-0.23562067161683817,0.8137272627593745
RSI + BB,"{'RSI': {'oversold': 30, 'overbought': 70}, 'BB': {'period': 20, 'std_dev': 2.0}}",0.5596500000002016,0.16071813699561183,2.1587840686481012,1315,63.39421613394216,0.09869152588912669,0.9213832922295776
